Game 1: Winner = Human, Q-table Size = 9
Game 1: Winner = AI, Q-table Size = 8472
Game 2: Winner = Human, Q-table Size = 8481
Game 3: Winner = Human, Q-table Size = 8490
Game 1: Winner = AI, Q-table Size = 16332
Game 1: Winner = AI, Q-table Size = 24224
Game 0: Q-table size = 24239, Epsilon = 0.2985
Game 1: Q-table size = 24255, Epsilon = 0.2970
Game 2: Q-table size = 24272, Epsilon = 0.2955
Game 3: Q-table size = 24277, Epsilon = 0.2940
Game 4: Q-table size = 24279, Epsilon = 0.2926
Game 5: Q-table size = 24288, Epsilon = 0.2911
Game 6: Q-table size = 24301, Epsilon = 0.2897
Game 7: Q-table size = 24311, Epsilon = 0.2882
Game 8: Q-table size = 24330, Epsilon = 0.2868
Game 9: Q-table size = 24345, Epsilon = 0.2853
Game 10: Q-table size = 24355, Epsilon = 0.2839
Game 11: Q-table size = 24368, Epsilon = 0.2825
Game 12: Q-table size = 24380, Epsilon = 0.2811
Game 13: Q-table size = 24393, Epsilon = 0.2797
Game 14: Q-table size = 24409, Epsilon = 0.2783
Game 15: Q-table size = 24426, Epsilon = 0.2769
Game 16: Q-table size = 24435, Epsilon = 0.2755
Game 17: Q-table size = 24447, Epsilon = 0.2741
Game 18: Q-table size = 24447, Epsilon = 0.2727
Game 19: Q-table size = 24447, Epsilon = 0.2714
Game 20: Q-table size = 24463, Epsilon = 0.2700
Game 21: Q-table size = 24474, Epsilon = 0.2687
Game 22: Q-table size = 24491, Epsilon = 0.2673
Game 23: Q-table size = 24507, Epsilon = 0.2660
Game 24: Q-table size = 24507, Epsilon = 0.2647
Game 25: Q-table size = 24507, Epsilon = 0.2633
Game 26: Q-table size = 24507, Epsilon = 0.2620
Game 27: Q-table size = 24507, Epsilon = 0.2607
Game 28: Q-table size = 24519, Epsilon = 0.2594
Game 29: Q-table size = 24537, Epsilon = 0.2581
Game 30: Q-table size = 24551, Epsilon = 0.2568
Game 31: Q-table size = 24568, Epsilon = 0.2555
Game 32: Q-table size = 24583, Epsilon = 0.2543
Game 33: Q-table size = 24601, Epsilon = 0.2530
Game 34: Q-table size = 24614, Epsilon = 0.2517
Game 35: Q-table size = 24628, Epsilon = 0.2505
Game 36: Q-table size = 24645, Epsilon = 0.2492
Game 37: Q-table size = 24645, Epsilon = 0.2480
Game 38: Q-table size = 24654, Epsilon = 0.2467
Game 39: Q-table size = 24668, Epsilon = 0.2455
Game 40: Q-table size = 24687, Epsilon = 0.2443
Game 41: Q-table size = 24687, Epsilon = 0.2430
